time,Sine500,WaveSeq,SpeedPU,SpeedRe,Iq,IqRef
283626,-0.309,19878,0,,0.063,
283626,0,19880,0,,0.063,
283626,0.309,19882,0,,0.063,
283626,0.587,19884,0,,0.063,
283626,0.809,19886,0,,0.063,
283626,0.951,19888,0,,0.063,
283626,1,19890,0,,0.063,
283626,0.951,19892,0,0,0.063,0
283626,0.809,19894,0,,0.063,
283626,0.587,19896,0,,0.063,
283626,0.309,19898,0,,0.063,
283626,0,19900,0,,0.063,
283626,-0.309,19902,0,,0.063,
283626,-0.587,19904,0,,0.063,
283626,-0.809,19906,0,,0.063,
283626,-0.951,19908,0,,0.063,
283626,-1,19910,0,,0.063,
283626,-0.951,19912,0,0,0.063,0
283626,-0.809,19914,0,,0.063,
283626,-0.587,19916,0,,0.063,
283626,-0.309,19918,0,,0.063,
283626,0,19920,0,,0.063,
283626,0.309,19922,0,,0.063,
283626,0.587,19924,0,,0.063,
283626,0.809,19926,0,,0.063,
283626,0.951,19928,0,,0.063,
283626,1,19930,0,,0.063,
283626,0.951,19932,0,0,0.063,0
283626,0.809,19934,0,,0.063,
283626,0.587,19936,0,,0.063,
283626,0.309,19938,0,,0.063,
283626,0,19940,0,,0.063,
283626,-0.309,19942,0,,0.063,
283626,-0.587,19944,0,,0.063,
283626,-0.809,19946,0,,0.063,
283626,-0.951,19948,0,,0.063,
283626,-1,19950,0,,0.063,
283626,-0.951,19952,0,0,0.063,0
283626,-0.809,19954,0,,0.063,
283626,-0.587,19956,0,,0.063,
283626,-0.309,19958,0,,0.063,
283626,0,19960,0,,0.063,
283626,0.309,19962,0,,0.063,
283626,0.587,19964,0,,0.063,
283626,0.809,19966,0,,0.063,
283626,0.951,19968,0,,0.063,
283626,1,19970,0,,0.063,
283626,0.951,19972,0,0,0.063,0
283626,0.809,19974,0,,0.063,
283626,0.587,19976,0,,0.063,
283626,0.309,19978,0,,0.063,
283626,0,19980,0,,0.063,
283626,-0.309,19982,0,,0.063,
283626,-0.587,19984,0,,0.063,
283626,-0.809,19986,0,,0.063,
283626,-0.951,19988,0,,0.063,
283626,-1,19990,0,,0.063,
283626,-0.951,19992,0,0,0.063,0
283626,-0.809,19994,0,,0.063,
283626,-0.587,19996,0,,0.063,
283626,-0.309,19998,0,,0.063,
283626,0,20000,0,,0.063,
283626,0.309,20002,0,,0.063,
283626,0.587,20004,0,,0.063,
283626,0.809,20006,0,,0.063,
283626,0.951,20008,0,,0.063,
283626,1,20010,0,,0.063,
283626,0.951,20012,0,0,0.063,0
283626,0.809,20014,0,,0.063,
283626,0.587,20016,0,,0.063,
283626,0.309,20018,0,,0.063,
283626,0,20020,0,,0.063,
283626,-0.309,20022,0,,0.063,
283626,-0.587,20024,0,,0.063,
283626,-0.809,20026,0,,0.063,
283626,-0.951,20028,0,,0.063,
283626,-1,20030,0,,0.063,
283626,-0.951,20032,0,0,0.063,0
283626,-0.809,20034,0,,0.063,
283626,-0.587,20036,0,,0.063,
283626,-0.309,20038,0,,0.063,
283626,0,20040,0,,0.063,
283626,0.309,20042,0,,0.063,
283626,0.587,20044,0,,0.063,
283626,0.809,20046,0,,0.063,
283626,0.951,20048,0,,0.063,
283626,1,20050,0,,0.063,
283626,0.951,20052,0,0,0.063,0
283626,0.809,20054,0,,0.063,
283626,0.587,20056,0,,0.063,
283626,0.309,20058,0,,0.063,
283626,0,20060,0,,0.063,
283626,-0.309,20062,0,,0.063,
283626,-0.587,20064,0,,0.063,
283626,-0.809,20066,0,,0.063,
283626,-0.951,20068,0,,0.063,
283626,-1,20070,0,,0.063,
283626,-0.951,20072,0,0,0.063,0
283626,-0.809,20074,0,,0.063,
283626,-0.587,20076,0,,0.063,
283626,-0.309,20078,0,,0.063,
283626,0,20080,0,,0.063,
283626,0.309,20082,0,,0.063,
283626,0.587,20084,0,,0.063,
283626,0.809,20086,0,,0.063,
283626,0.951,20088,0,,0.063,
283626,1,20090,0,,0.063,
283626,0.951,20092,0,0,0.063,0
283626,0.809,20094,0,,0.063,
283626,0.587,20096,0,,0.063,
283626,0.309,20098,0,,0.063,
283626,0,20100,0,,0.063,
283626,-0.309,20102,0,,0.063,
283626,-0.587,20104,0,,0.063,
283626,-0.809,20106,0,,0.063,
283626,-0.951,20108,0,,0.063,
283626,-1,20110,0,,0.063,
283626,-0.951,20112,0,0,0.063,0
283626,-0.809,20114,0,,0.063,
283626,-0.587,20116,0,,0.063,
283626,-0.309,20118,0,,0.063,
283626,0,20120,0,,0.063,
283626,0.309,20122,0,,0.063,
283626,0.587,20124,0,,0.063,
283626,0.809,20126,0,,0.063,
283626,0.951,20128,0,,0.063,
283626,1,20130,0,,0.063,
